Power,Rpm,Bpm,PedalBlob,HeelBlob,AnkleBlob,KneeBlob,KneeBlob2,HipBlob
100,82,115,53.9328745580282,79.9665321010095,138.535577707815,75.5757851696142,104.424214830386,18.7727483943957
100,81,115,20.278733113866,80.0342072311844,145.040974571954,83.2832251863216,96.7167748136784,42.7714587100151
96,80,115,24.1157642191931,76.1967472355986,141.671458149583,93.0038916352326,86.9961083647674,24.5486467338403
103,80,116,71.9287112355906,79.2195318646014,142.51532619595,69.2523086889241,110.747691311076,27.7634947233962
108,81,116,0.04708639651176,81.2678530659666,142.625047710792,108.417604052235,71.582395947765,34.5270104804053
100,81,116,44.9625533138782,86.4363249033116,150.459264533251,111.326385295609,68.6736147043907,56.1218988579812
89,80,116,70.5096760186665,80.3057424384262,139.724404581613,69.6732373927938,110.326762607206,18.8043158511178
114,82,114,5.68583134978965,82.4065542643181,146.207758659912,89.2623574553976,90.7376425446024,46.4112199450057
114,82,114,29.6936724977074,81.4336638954204,140.724032141884,89.3064007608467,90.6935992391533,22.6283097220009
108,84,114,79.2632453382917,78.1571987875611,140.065079386311,68.3750456430515,111.624954356949,26.3990056212957
108,84,114,39.706573800041,86.2006540903198,146.576999788955,129.853598140369,50.1464018596309,51.5074269856149
101,83,114,15.8712363647699,79.8605130599802,142.621620692164,84.8182602034629,95.1817397965371,44.6526544093593
100,83,114,47.0352694561196,86.1567276597213,148.255156454279,114.611637386175,65.3883626138248,58.192121921215
97,83,114,62.9697087045952,80.1125218398482,138.105151371442,72.208098485729,107.791901514271,18.8684860454364
102,84,114,35.2821222327134,81.0811766039713,145.112243438361,78.047350575673,101.952649424327,38.236047599535
102,83,114,0.088383360873095,80.5634180254319,142.185598855347,108.707551291535,71.2924487084652,34.7988497962202
99,82,114,32.225378028611,80.9998095642018,147.908538008179,107.218687755199,72.7813122448009,55.5488169499634
101,84,114,53.8124544869618,79.8394374722093,136.622362074471,75.6055216128618,104.394478387138,19.2576331798003
101,84,114,79.5426704875119,93.4558234016767,151.568099701098,134.408766545437,45.5912334545631,60.1077072790534
96,84,114,35.1286981562597,83.6129731618164,145.460539193305,77.2706082408602,102.72939175914,37.3144119853448
